datetime,Factor emision global,APEF,RES-E-RATIO,PVPC
2016-01-10 18:00:00+00:00,0.116334721,1.301217824,0.656727892,106.14
2016-01-10 19:00:00+00:00,0.120531571,1.318145752,0.642780017,114.91
2016-01-10 20:00:00+00:00,0.123295846,1.322739306,0.63645384,112.83
2016-01-10 21:00:00+00:00,0.124262516,1.353030089,0.641750629,108.79
2016-01-10 22:00:00+00:00,0.124397414,1.365202341,0.661116195,42.59
2016-01-10 23:00:00+00:00,0.127937725,1.475524423,0.648972155,32.82
2016-01-11 00:00:00+00:00,0.124899284,1.545021539,0.65315256,20.05
2016-01-11 01:00:00+00:00,0.120115757,1.585924511,0.651793969,17.01
2016-01-11 02:00:00+00:00,0.12263064,1.619786582,0.634588388,16.85
2016-01-11 03:00:00+00:00,0.128769028,1.639857557,0.617830057,17.31
2016-01-11 04:00:00+00:00,0.136847782,1.615911148,0.602619898,17.31
2016-01-11 05:00:00+00:00,0.136110356,1.461133088,0.627546961,17.3
2016-01-11 06:00:00+00:00,0.136776461,1.29081814,0.647753223,19.2
2016-01-11 07:00:00+00:00,0.140584265,1.238141984,0.636657195,33.62
2016-01-11 08:00:00+00:00,0.141984528,1.206168372,0.641300606,53.92
2016-01-11 09:00:00+00:00,0.138702851,1.185569808,0.656573421,51.26
2016-01-11 10:00:00+00:00,0.130021477,1.140789715,0.678785386,49.55
2016-01-11 11:00:00+00:00,0.123403229,1.119091652,0.701517496,45.97
2016-01-11 12:00:00+00:00,0.12384214,1.13098829,0.700073774,108.17
2016-01-11 13:00:00+00:00,0.121383947,1.167230012,0.709604025,113.26
2016-01-11 14:00:00+00:00,0.124358351,1.192136369,0.691983762,111.06
2016-01-11 15:00:00+00:00,0.127552284,1.198444209,0.683601513,111.74
2016-01-11 16:00:00+00:00,0.135536787,1.23284614,0.650647005,112.2
2016-01-11 17:00:00+00:00,0.14384631,1.261517639,0.599993626,117.46
2016-01-11 18:00:00+00:00,0.144007724,1.283480706,0.584403937,122.35
2016-01-11 19:00:00+00:00,0.138747612,1.351349667,0.568802722,118.71
2016-01-11 20:00:00+00:00,0.133036296,1.363960791,0.574415567,121.06
2016-01-11 21:00:00+00:00,0.128086307,1.369711956,0.599643387,123.43
2016-01-11 22:00:00+00:00,0.131700297,1.338091813,0.629260382,49.6
2016-01-11 23:00:00+00:00,0.130736269,1.392633098,0.641928059,43.03
2016-01-12 00:00:00+00:00,0.131702409,1.480235138,0.665573779,36.94
2016-01-12 01:00:00+00:00,0.136585051,1.547056384,0.640314383,28.91
2016-01-12 02:00:00+00:00,0.146249791,1.601382469,0.626413762,21.89
2016-01-12 03:00:00+00:00,0.161205879,1.657600108,0.612373158,22.45
2016-01-12 04:00:00+00:00,0.177386336,1.659091923,0.6002044,23.8
2016-01-12 05:00:00+00:00,0.19851885,1.61566682,0.541135989,29.95
2016-01-12 06:00:00+00:00,0.214622832,1.546685771,0.472416583,38.89
2016-01-12 07:00:00+00:00,0.229932869,1.623105003,0.434660269,50.74
2016-01-12 08:00:00+00:00,0.22904187,1.642602951,0.438975629,56.15
2016-01-12 09:00:00+00:00,0.22761999,1.62414207,0.455924246,54.16
2016-01-12 10:00:00+00:00,0.215931286,1.569203627,0.487109814,53.63
2016-01-12 11:00:00+00:00,0.206913982,1.522800065,0.517782108,52.05
2016-01-12 12:00:00+00:00,0.196158061,1.465002395,0.539418037,113.46
2016-01-12 13:00:00+00:00,0.184416268,1.502547073,0.546341864,115.84
2016-01-12 14:00:00+00:00,0.181680483,1.51175785,0.549102698,112.73
2016-01-12 15:00:00+00:00,0.192473215,1.5431759,0.522410603,113.95
2016-01-12 16:00:00+00:00,0.232059201,1.631708389,0.463701741,116.7
2016-01-12 17:00:00+00:00,0.260715709,1.771106553,0.406526103,122.8
2016-01-12 18:00:00+00:00,0.274569649,1.831142012,0.382499604,139.81
2016-01-12 19:00:00+00:00,0.286627209,1.903301884,0.362447576,150.03
2016-01-12 20:00:00+00:00,0.282708312,1.938662141,0.354209597,154.58
2016-01-12 21:00:00+00:00,0.277736056,1.98411819,0.357547628,155.56
2016-01-12 22:00:00+00:00,0.270553854,1.993506225,0.35828914,72.34
2016-01-12 23:00:00+00:00,0.284261379,2.029145545,0.350773763,59.07
2016-01-13 00:00:00+00:00,0.253610589,2.076566463,0.356289973,57.67
2016-01-13 01:00:00+00:00,0.24965635,2.145059278,0.343873382,46.65
2016-01-13 02:00:00+00:00,0.259978232,2.22674735,0.337010413,40.9
2016-01-13 03:00:00+00:00,0.256707003,2.207665853,0.336525368,39.37
2016-01-13 04:00:00+00:00,0.258986142,2.168962215,0.338759713,38.78
